Carimbo de data/hora,Declaro que li e compreendi as informações acima e concordo em participar voluntariamente desta pesquisa.  ,Faixa Etária,Gênero,Etnia,Campus,Curso,Período ,Semestre,Quais da opções abaixo melhor representa você em relação ao NAP (Núcleo de Apoio Psicopedagógico)?,Já senti necessidade de apoio emocional durante a graduação.,Eu buscaria ajuda institucional se estivesse com dificuldades acadêmicas ou emocionais.,Considero importante que existam espaços de escuta e acolhimento na instituição.,Eu sinto que há suporte suficiente para dificuldades emocionais na faculdade.,Eu gostaria de receber mais informações sobre serviços de apoio ao estudante.,Eu sei a quem recorrer dentro da faculdade quando tenho dificuldades emocionais.,Acredito que serviços de apoio podem melhorar a experiência acadêmica dos alunos.,Eu sinto que a faculdade oferece suporte suficiente para dificuldades acadêmicas.,Eu sei onde buscar ajuda na instituição quando tenho dificuldades pessoais.,Eu me sentiria confortável em procurar ajuda dentro da instituição.,Eu entendo claramente qual é a função do NAP (Núcleo de Apoio Psicopedagógico).,Eu já pensei em utilizar o NAP (Núcleo de Apoio Psicopedagógico) em algum momento.,Eu sei como acessar os serviços oferecidos pelo NAP  (Núcleo de Apoio Psicopedagógico).,Tenho confiança na confidencialidade do atendimento oferecido pelo NAP (Núcleo de Apoio Psicopedagógico).,"Eu já tive necessidade de apoio, mas não utilizei o NAP (Núcleo de Apoio Psicopedagógico).",Sinto que existe um preconceito em procurar apoio psicológico ou pedagógico na instituição.,Eu deixei de usar o NAP (Núcleo de Apoio Psicopedagógico) por falta de informação sobre o serviço.,Considero o NAP (Núcleo de Apoio Psicopedagógico) acessível em termos de horário e localização.,Confio no profissionalismo do atendimento oferecido pelo NAP (Núcleo de Apoio Psicopedagógico).,Deixei de utilizar o NAP (Núcleo de Apoio Psicopedagógico) por acreditar que o problema não era 'grave o suficiente'.,Eu consegui acessar o NAP (Núcleo de Apoio Psicopedagógico)  com facilidade.,Eu fui bem orientado sobre como funciona o atendimento do NAP (Núcleo de Apoio Psicopedagógico).,Eu me senti acolhido(a) durante o atendimento no NAP  (Núcleo de Apoio Psicopedagógico).,O atendimento do NAP (Núcleo de Apoio Psicopedagógico) atendeu às minhas expectativas.,O NAP (Núcleo de Apoio Psicopedagógico) contribuiu para a melhora das minhas dificuldades acadêmicas.,O NAP (Núcleo de Apoio Psicopedagógico) contribuiu para o meu bem-estar emocional.,Sinto que o NAP (Núcleo de Apoio Psicopedagógico) melhora o ambiente e as relações dentro da instituição.,Eu considero o atendimento do NAP (Núcleo de Apoio Psicopedagógico) de boa qualidade.,Eu recomendaria o NAP (Núcleo de Apoio Psicopedagógico) para outros estudantes.,"Eu voltaria a utilizar o NAP (Núcleo de Apoio Psicopedagógico), se necessário.",Senti que fui ouvido(a) e compreendido(a) no atendimento.,O atendimento do NAP (Núcleo de Apoio Psicopedagógico) impactou positivamente minha permanência na instituição.,Foi fácil acessar o NAP (Núcleo de Apoio Psicopedagógico) para agendar e verificar horários. ,O tempo de espera para atendimento foi adequado.,Os profissionais do NAP (Núcleo de Apoio Psicopedagógico) demonstraram preparo e competência.,O atendimento do NAP (Núcleo de Apoio Psicopedagógico) influenciou positivamente minha experiência acadêmica,Considero o NAP (Núcleo de Apoio Psicopedagógico) um serviço importante dentro da instituição.,Você gostaria de ser convidado(a) para participar de futuras pesquisas sobre o NAP? 
2026/04/28 11:40:00 AM GMT-3,Concordo em participar da pesquisa.,26 a 35,Homem Cisgênero,Branca,Liberdade,Psicologia,Noturno,7° Semestre,"Conheço o NAP, mas nunca utilizei.",,,,,,,,,,,8.0,1.0,10.0,10.0,5.0,7.0,8.0,3.0,10.0,1.0,,,,,,,,,,,,,,,,,,Sim
2026/04/28 12:35:30 PM GMT-3,Concordo em participar da pesquisa.,17 a 25,Homem Cisgênero,Parda,Santo Amaro,Psicologia,Noturno,7° Semestre,"Conheço o NAP, mas nunca utilizei.",,,,,,,,,,,4.0,9.0,1.0,10.0,10.0,10.0,5.0,1.0,10.0,10.0,,,,,,,,,,,,,,,,,,Sim
2026/04/28 12:38:21 PM GMT-3,Concordo em participar da pesquisa.,36 a 45,Mulher Cisgênero,Branca,Liberdade,Psicologia,Noturno,5° Semestre,Não conheço o NAP.,5.0,10.0,10.0,5.0,10.0,1.0,10.0,1.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim
2026/04/28 12:43:29 PM GMT-3,Concordo em participar da pesquisa.,26 a 35,Mulher Cisgênero,Preta,Liberdade,Psicologia,Noturno,5° Semestre,"Conheço o NAP, mas nunca utilizei.",,,,,,,,,,,4.0,1.0,1.0,4.0,10.0,1.0,2.0,5.0,7.0,5.0,,,,,,,,,,,,,,,,,,Não
2026/04/28 12:44:48 PM GMT-3,Concordo em participar da pesquisa.,56+,Outro,Parda,Liberdade,Psicologia,Noturno,5° Semestre,"Conheço o NAP, mas nunca utilizei.",,,,,,,,,,,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,Sim
2026/04/28 12:52:26 PM GMT-3,Concordo em participar da pesquisa.,26 a 35,Mulher Cisgênero,Parda,Santo Amaro,Psicologia,Noturno,9° Semestre,"Conheço o NAP, mas nunca utilizei.",,,,,,,,,,,6.0,7.0,4.0,8.0,1.0,4.0,2.0,5.0,7.0,2.0,,,,,,,,,,,,,,,,,,Não
2026/04/28 12:54:19 PM GMT-3,Concordo em participar da pesquisa.,26 a 35,Mulher Cisgênero,Branca,Santo Amaro,Psicologia,Noturno,9° Semestre,"Conheço o NAP, mas nunca utilizei.",,,,,,,,,,,6.0,4.0,6.0,6.0,1.0,1.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,Sim
2026/04/28 12:56:08 PM GMT-3,Concordo em participar da pesquisa.,17 a 25,Mulher Cisgênero,Preta,Liberdade,Psicologia,Noturno,4° Semestre,Não conheço o NAP.,7.0,10.0,10.0,5.0,10.0,4.0,10.0,5.0,5.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim
2026/04/28 1:00:15 PM GMT-3,Concordo em participar da pesquisa.,17 a 25,Mulher Cisgênero,Branca,Liberdade,Psicologia,Noturno,4° Semestre,Não conheço o NAP.,10.0,5.0,10.0,2.0,10.0,1.0,10.0,4.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim
2026/04/28 1:00:40 PM GMT-3,Concordo em participar da pesquisa.,56+,Mulher Cisgênero,Branca,Liberdade,Psicologia,Diurno,3° Semestre,Não conheço o NAP.,2.0,10.0,10.0,2.0,10.0,1.0,10.0,2.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim
